,Sentences,Label
0,wow loved place,1
1,crust good,0
2,tasty texture nasty,0
3,stopped late may bank holiday rick steve recommendation loved,1
4,selection menu great prices,1
5,getting angry want damn pho,0
6,honeslty taste fresh,0
7,potatoes like rubber could tell made ahead time kept warmer,0
8,fries great,1
9,great touch,1
10,service prompt,1
11,would go back,0
12,cashier care ever say still ended wayyy overpriced,0
13,tried cape cod ravoli chicken cranberry mmmm,1
14,disgusted pretty sure human hair,0
15,shocked signs indicate cash,0
16,highly recommended,1
17,waitress little slow service,0
18,place worth time let alone vegas,0
19,like,0
20,burrittos blah,0
21,food amazing,1
22,service also cute,1
23,could care less interior beautiful,1
24,performed,1
25,right red velvet cake ohhh stuff good,1
26,hole wall great mexican street tacos friendly staff,1
27,took hour get food tables restaurant food luke warm sever running around like totally overwhelmed,0
28,worst salmon sashimi,0
29,also combos like burger fries beer decent deal,1
30,like final blow,0
31,found place accident could happier,1
32,seems like good quick place grab bite familiar pub food favor look elsewhere,0
33,overall like place lot,1
34,redeeming quality restaurant inexpensive,1
35,ample portions good prices,1
36,poor service waiter made feel like stupid every time came table,0
37,first visit hiro delight,1
38,service sucks,0
39,shrimp tender moist,1
40,deal good enough would drag establishment,0
41,hard judge whether sides good grossed melted styrofoam want eat fear getting sick,0
42,positive note server attentive provided great service,1
43,frozen pucks disgust worst people behind register,0
44,thing like prime rib dessert section,1
45,bad food damn generic,0
46,burger good beef cooked right,1
47,want sandwich go firehouse,1
48,side greek salad greek dressing tasty pita hummus refreshing,1
49,ordered duck rare pink tender inside nice char outside,1
50,came running us realized husband left sunglasses table,1
51,chow mein good,1
52,horrible attitudes towards customers talk one customers enjoy food,0
53,portion huge,1
54,loved friendly servers great food wonderful imaginative menu,1
55,heart attack grill downtown vegas absolutely flat lined excuse restaurant,0
56,much seafood like strings pasta bottom,0
57,salad right amount sauce power scallop perfectly cooked,1
58,ripped banana ripped petrified tasteless,0
59,least think refill water struggle wave minutes,0
60,place receives stars appetizers,1
61,cocktails handmade delicious,1
62,definitely go back,1
63,glad found place,1
64,great food service huge portions give military discount,1
65,always great time dos gringos,1
66,update went back second time still amazing,1
67,got food apparently never heard salt batter fish chewy,0
68,great way finish great,1
69,deal included tastings drinks jeff went beyond expected,1
70,service meh,0
71,took min get milkshake nothing chocolate milk,0
72,guess known place would suck inside excalibur use common sense,0
73,scallop dish quite appalling value well,0
74,times bad customer service,0
75,sweet potato fries good seasoned well,1
76,today second time lunch buffet pretty good,1
77,much good food vegas feel cheated wasting eating opportunity going rice company,0
78,coming like experiencing underwhelming relationship parties wait person ask break,0
79,walked place smelled like old grease trap others eating,0
80,turkey roast beef bland,0
81,place,1
82,pan cakes everyone raving taste like sugary disaster tailored palate six year old,0
83,love pho spring rolls oh yummy try,1
84,poor batter meat ratio made chicken tenders unsatisfying,0
85,say food amazing,1
86,omelets die,1
87,everything fresh delicious,1
88,summary largely disappointing dining experience,0
89,like really sexy party mouth outrageously flirting hottest person party,1
90,never hard rock casino never ever step forward,0
91,best breakfast buffet,1
92,say bye bye tip lady,0
93,never go,0
94,back,1
95,food arrived quickly,1
96,good,0
97,side cafe serves really good food,1
98,server fantastic found wife loves roasted garlic bone marrow added extra meal another marrow go,1
99,good thing waiter helpful kept bloddy mary coming,1
100,best buffet town price cannot beat,1
101,loved mussels cooked wine reduction duck tender potato dishes delicious,1
102,one better buffets,1
103,went tigerlilly fantastic afternoon,1
104,food delicious bartender attentive personable got great deal,1
105,ambience wonderful music playing,1
106,go back next trip,1
107,sooooo good,1
108,real sushi lovers let honest yama good,0
109,least min passed us ordering food arriving busy,0
110,really fantastic thai restaurant definitely worth visit,1
111,nice spicy tender,1
112,good prices,1
113,check,1
114,pretty gross,0
115,better atmosphere,0
116,kind hard mess steak,0
117,although much liked look sound place actual experience bit disappointing,0
118,know place managed served blandest food ever eaten preparing indian cuisine,0
119,worst service boot least worries,0
120,service fine waitress friendly,1
121,guys steaks steak loving son steak best worst places said best steak ever eaten,1
122,thought venture away get good sushi place really hit spot night,1
123,host staff lack better word bitches,0
124,bland liking place number reasons want waste time bad reviewing leave,0
125,phenomenal food service ambiance,1
126,return,0
127,definitely worth venturing strip pork belly return next time vegas,1
128,place way overpriced mediocre food,0
129,penne vodka excellent,1
130,good selection food including massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burgers,1
131,management rude,0
132,delicious nyc bagels good selections cream cheese real lox capers even,1
133,great subway fact good come every subway meet expectations,1
134,seriously solid breakfast,1
135,one best bars food vegas,1
136,extremely rude really many restaurants would love dine weekend vegas,0
137,drink never empty made really great menu suggestions,1
138,,0
139,waiter helpful friendly rarely checked us,0
140,husband ate lunch disappointed food service,0
141,red curry much bamboo shoots tasty,0
142,nice blanket moz top feel like done cover subpar food,1
143,bathrooms clean place well decorated,1
144,menu always changing food quality going service extremely slow,0
145,service little slow considering served people servers food coming slow pace,0
146,give thumbs,0
147,watched waiter pay lot attention tables ignore us,0
148,fianc came middle day greeted seated right away,1
149,great restaurant mandalay bay,1
150,waited forty five minutes vain,0
151,crostini came salad stale,0
152,highlights great quality nigiri,1
153,staff friendly joint always clean,1
154,different cut piece day still wonderful tender well well flavored,1
155,ordered voodoo pasta first time really excellent pasta since going gluten free several years ago,1
156,place good,1
